"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Year","Updated.On","Time","ActiveOrInactive"
8057783,"HT289713",2011-05-10,"007XX W GARFIELD BLVD","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA BUS","true","false",934,9,3,61,"11",2011,"02/10/2018 03:50:01 PM",22:44:00,"Inactive"
8058523,"HT290001",2011-05-11,"048XX N MARINE DR","1310","CRIMINAL DAMAGE","TO PROPERTY","CTA BUS STOP","false","false",2024,20,48,3,"14",2011,"02/10/2018 03:50:01 PM",00:00:00,"Active"
8103128,"HT337766",2011-05-11,"055XX S STATE ST","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",233,2,3,40,"06",2011,"02/10/2018 03:50:01 PM",01:00:00,"Active"
8057884,"HT289875",2011-05-11,"009XX W FULLERTON AVE","0460","BATTERY","SIMPLE","CTA PLATFORM","true","false",1812,18,43,7,"08B",2011,"02/10/2018 03:50:01 PM",01:30:00,"Active"
8189068,"HT289860",2011-05-11,"009XX W FULLERTON AVE","0460","BATTERY","SIMPLE","CTA PLATFORM","true","false",1812,18,43,7,"08B",2011,"02/10/2018 03:50:01 PM",01:30:00,"Active"
8057954,"HT289909",2011-05-11,"065XX N SHERIDAN RD","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",2432,24,40,1,"06",2011,"02/10/2018 03:50:01 PM",02:20:00,"Active"
8058880,"HT290247",2011-05-11,"040XX W CONGRESS PKWY","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",1132,11,24,26,"06",2011,"02/10/2018 03:50:01 PM",10:20:00,"Inactive"
8069659,"HT290541",2011-05-11,"0000X W CTA OHARE PLATFORM ST","0484","BATTERY","PRO EMP HANDS NO/MIN INJURY","CTA PLATFORM","true","false",1654,16,41,76,"08B",2011,"02/04/2016 06:33:39 AM",13:00:00,"Inactive"
8059135,"HT290662",2011-05-11,"008XX N FRANKLIN ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","CTA BUS","false","false",1823,18,27,8,"26",2011,"02/04/2016 06:33:39 AM",14:30:00,"Inactive"
8059141,"HT290656",2011-05-11,"055XX S DR MARTIN LUTHER KING JR DR","0460","BATTERY","SIMPLE","CTA BUS","true","false",234,2,20,40,"08B",2011,"02/10/2018 03:50:01 PM",14:50:00,"Inactive"
8059176,"HT290696",2011-05-11,"050XX S STATE ST","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","CTA BUS","true","false",231,2,3,38,"08A",2011,"02/04/2016 06:33:39 AM",15:16:00,"Inactive"
